Masterfile,StateCode,ORICODE,Group,Division,Month,Year,Offense Code,Occurences,Arrest Code A,Arrest Counter A,Arrest Code B,Arrest Counter B,Arrest Code C,Arrest Counter C,Arrest Code D,Arrest Counter D,Arrest Code E,Arrest Counter E,Arrest Code F,Arrest Counter F,Arrest Code G,Arrest Counter G,Arrest Code H,Arrest Counter H,Arrest Code I,Arrest Counter I,Arrest Code J,Arrest Counter J,Arrest Code K,Arrest Counter K,Arrest Code L,Arrest Counter L,Arrest Code M,Arrest Counter M,Arrest Code N,Arrest Counter N,Arrest Code O,Arrest Counter O,Arrest Code P,Arrest Counter P,Arrest Code Q,Arrest Counter Q,Arrest Code R,Arrest Counter R,Arrest Code S,Arrest Counter S
3,29,NJ001SP,9C,2,6,12,16,2,12,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ001SP,9C,2,12,12,16,2,15,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00102,4,2,1,12,16,8,8,1,30,1,31,1,34,1,36,3,37,2,45,2,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00102,4,2,2,12,16,2,16,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00102,4,2,3,12,16,19,6,1,8,1,9,1,11,1,12,2,14,2,17,1,18,1,29,1,30,1,32,3,33,1,34,1,36,4,37,3,39,2,45,17,46,8,49,1
3,29,NJ00102,4,2,4,12,16,7,30,2,32,1,36,2,38,1,40,1,45,5,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00102,4,2,5,12,16,4,10,2,14,1,45,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00102,4,2,6,12,16,19,9,2,12,1,15,1,17,1,18,1,20,1,29,3,30,3,31,3,32,1,33,4,34,3,35,2,36,5,37,2,38,2,39,2,45,18,46,19
3,29,NJ00102,4,2,9,12,16,13,19,1,29,1,30,3,31,1,32,3,33,1,34,3,35,1,36,2,38,2,39,1,45,5,46,14,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00102,4,2,10,12,16,8,6,1,12,1,30,1,36,5,38,1,45,7,46,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00102,4,2,11,12,16,2,31,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00107,6,2,11,12,16,3,37,1,42,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00204,6,2,9,12,16,3,31,1,36,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00207,6,2,3,12,16,2,37,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00212,6,2,4,12,16,2,35,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00217,4,2,8,12,16,4,10,1,31,1,45,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00219,4,2,1,12,16,3,30,1,36,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00219,4,2,2,12,16,3,30,1,38,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00219,4,2,3,12,16,2,36,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00221,4,2,3,12,16,3,38,1,39,1,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00223,4,2,3,12,16,2,37,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00223,4,2,4,12,16,2,38,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00223,4,2,5,12,16,5,15,1,30,1,37,1,45,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00224,6,2,3,12,16,2,38,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00225,5,2,3,12,16,2,15,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00225,5,2,9,12,16,2,34,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00232,5,2,3,12,16,3,38,1,40,2,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00234,6,2,8,12,16,2,37,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00240,6,2,10,12,16,2,37,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00245,5,2,3,12,16,2,37,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00246,4,2,3,12,16,13,11,1,16,1,17,2,18,1,20,1,34,1,35,1,37,1,38,2,39,2,45,5,46,3,48,5,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00252,5,2,11,12,16,2,41,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00257,5,2,2,12,16,4,22,1,39,1,45,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00263,6,2,1,12,16,2,39,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00263,6,2,8,12,16,2,40,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00268,6,2,12,12,16,4,16,1,37,1,45,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00304,5,2,10,12,16,2,16,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00305,6,2,2,12,16,2,17,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00305,6,2,10,12,16,3,19,1,38,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00306,5,2,8,12,16,3,12,1,34,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00306,5,2,9,12,16,2,12,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00317,4,2,2,12,16,2,19,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00320,5,2,6,12,16,2,40,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00320,5,2,7,12,16,2,40,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00320,5,2,10,12,16,2,15,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,1,12,16,2,36,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,2,12,16,2,31,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,3,12,16,2,37,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,4,12,16,2,37,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,6,12,16,8,9,1,18,2,31,1,32,1,37,1,39,1,45,5,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,7,12,16,10,14,1,15,6,16,5,17,4,19,2,20,4,37,1,45,15,46,1,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,8,12,16,5,14,2,33,2,36,1,45,3,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,9,12,16,2,31,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,10,12,16,8,14,1,20,1,33,3,34,1,37,1,45,2,46,4,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,11,12,16,4,34,1,36,2,45,2,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00325,4,2,12,12,16,7,20,1,32,1,34,1,36,1,37,3,40,1,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00404,5,2,4,12,16,8,14,2,19,1,33,1,36,2,37,1,40,1,45,7,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,1,12,16,2,37,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,2,12,16,3,35,1,37,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,3,12,16,2,37,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,4,12,16,6,36,3,37,1,38,3,42,1,45,5,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,5,12,16,8,34,2,36,3,37,1,38,3,39,1,40,1,45,7,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,6,12,16,5,35,1,37,2,38,2,45,3,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,7,12,16,3,35,1,37,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,8,12,16,2,35,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,9,12,16,2,38,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00408,3,2,12,12,16,2,36,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00411,5,2,3,12,16,3,16,1,38,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00412,3,2,1,12,16,2,15,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00412,3,2,4,12,16,6,10,1,15,1,16,1,36,1,45,3,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00412,3,2,9,12,16,5,16,1,30,1,36,1,45,2,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00412,3,2,10,12,16,2,15,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00412,3,2,11,12,16,2,31,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00414,5,2,2,12,16,4,22,1,42,1,45,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00414,5,2,4,12,16,4,34,1,35,1,38,1,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00415,3,2,3,12,16,2,14,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00415,3,2,4,12,16,2,4,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00415,3,2,5,12,16,2,3,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00415,3,2,8,12,16,5,16,1,31,1,36,1,45,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00415,3,2,12,12,16,3,18,1,36,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00422,5,2,4,12,16,5,10,1,37,1,38,1,45,2,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00422,5,2,7,12,16,3,32,1,36,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00428,5,2,6,12,16,3,13,1,40,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00430,6,2,1,12,16,2,39,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00432,6,2,1,12,16,5,39,1,40,1,41,1,42,1,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00432,6,2,2,12,16,4,18,1,20,1,45,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00434,4,2,7,12,16,4,42,2,43,1,45,1,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00600,9D,2,1,12,16,2,16,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00601,4,2,3,12,16,4,15,1,19,1,45,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00601,4,2,12,12,16,7,14,1,15,1,37,1,39,1,40,1,45,2,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00610,4,2,1,12,16,4,15,1,36,1,45,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00610,4,2,4,12,16,7,18,1,36,1,37,2,38,1,41,1,45,5,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00610,4,2,5,12,16,3,19,1,30,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00610,4,2,6,12,16,12,11,1,15,1,16,2,18,1,20,3,21,1,22,1,34,1,36,2,38,1,45,10,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00610,4,2,10,12,16,3,20,1,38,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00610,4,2,12,12,16,3,7,1,38,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00614,3,2,1,12,16,2,21,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00614,3,2,8,12,16,2,38,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00700,9D,2,5,12,16,4,20,1,35,1,45,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00704,6,2,10,12,16,9,10,1,30,1,37,1,38,1,40,1,45,1,46,2,47,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00706,3,2,1,12,16,4,12,1,38,1,39,2,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00706,3,2,2,12,16,4,14,1,15,3,17,1,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00706,3,2,3,12,16,4,14,1,36,1,40,1,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00706,3,2,9,12,16,4,32,1,40,1,43,1,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00706,3,2,10,12,16,3,38,1,39,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00706,3,2,11,12,16,3,38,1,39,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00706,3,2,12,12,16,5,15,1,20,1,40,1,45,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00713,4,2,11,12,16,3,38,1,40,1,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00717,4,2,1,12,16,4,11,1,16,1,17,1,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00717,4,2,3,12,16,2,18,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00717,4,2,4,12,16,2,41,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00717,4,2,6,12,16,9,9,1,16,1,36,1,37,1,38,2,39,2,40,1,45,2,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00717,4,2,8,12,16,2,37,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00722,4,2,10,12,16,2,40,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00802,4,2,12,12,16,2,14,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00816,6,2,2,12,16,3,17,1,36,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00820,5,2,11,12,16,3,17,1,36,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00821,6,2,5,12,16,3,14,1,20,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00901,3,2,10,12,16,2,41,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00903,5,2,1,12,16,7,13,1,14,1,15,1,20,1,37,1,39,2,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00906,1C,2,1,12,16,2,33,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,NJ00906,1C,2,2,12,16,3,39,1,41,1,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
